timestamp	ch1	ch2	ch3	ch4
0	32655	19565	32760	34886
0.016	34864	40157	32481	29635
0.048	34376	40304	32751	23554
0.08	33975	40433	32855	20465
0.104	33700	16600	32808	45998
0.128	33510	39010	32806	17485
0.152	33244	39885	32823	43801
0.176	33163	26007	32498	26521
0.2	32980	19859	32827	34690
0.224	32923	39374	32684	42162
0.256	32815	39494	32500	45647
0.288	32657	39612	32467	44451
0.312	32637	40514	32591	14126
0.336	17382	15360	32680	43656
0.36	34595	39137	32890	27508
0.384	34132	40020	32983	38357
0.408	33882	24035	32423	32993
0.44	33576	21716	32617	41772
0.464	33360	38762	32705	20556
0.496	33082	38824	32488	16815
0.536	32757	15274	32716	44682
0.576	32673	25732	32732	26789
0.616	32557	40119	32882	34894
0.656	32516	39498	32583	42165
0.696	32456	38834	32862	38956
0.736	34317	15385	32762	35529
0.776	33764	26645	32754	33244
0.816	33399	40130	32939	31844
0.856	33132	39511	32552	31000
0.888	32910	39638	32850	30318
0.912	32785	40526	32382	29962
0.944	32659	30477	32591	30035
0.976	32568	26289	32338	29695
1.016	32510	40116	32974	30224
1.064	32503	38764	32554	30642
1.096	32459	38823	32598	30514
1.128	32445	38978	32272	31017
1.16	32447	39128	32694	31064
1.192	32460	39258	32740	31647
1.232	32506	27018	32351	31849
1.264	32543	38745	32604	32371
1.304	32528	16821	32861	32448
1.336	32534	15092	32811	32585
1.368	32535	15992	32885	32704
1.4	32577	19019	32507	32654
1.432	32610	25420	32702	32818
1.464	32649	38751	32762	33248
1.504	32619	17025	32761	32885
1.536	32601	15367	32439	33198
1.568	32558	15785	32649	33029
1.6	32642	18430	32837	33107
1.64	32669	22456	32804	33337
1.672	32679	19574	32524	33348
1.712	32651	40491	32677	32906
1.744	32643	34197	32280	33122
1.784	32630	39956	32810	33047
1.824	32663	39339	32479	32982
1.864	32685	38714	32708	33130
1.912	32648	40485	32568	32738
1.952	32589	39838	32437	32868
1.992	32632	39216	32836	32705
2.04	32663	22179	32126	32732
2.096	32645	38774	32355	32690
2.136	32611	15577	32585	32588
2.176	32607	26863	32848	32431
2.216	32635	40096	32220	32453
2.256	32668	39470	32702	32772
2.296	32639	38801	32377	32746
2.336	32598	15614	32721	32473
2.384	32596	39946	32718	32731
2.424	32627	39329	32860	32815
2.464	32668	38697	32690	32846
2.504	32620	17245	32627	32526
2.544	32612	36885	32722	32761
2.592	32626	39217	32487	32338
2.648	32657	40198	32255	32629
2.688	32638	39574	32795	32746
2.736	32593	15653	32614	32411
2.784	32595	39956	32379	32555
2.84	32643	22262	32278	32560
2.88	32653	40345	32636	32865
2.928	32632	38939	32692	32440
2.968	32611	15306	32790	32746
3.016	32614	40058	32843	32775
3.056	32665	39438	32366	32594
3.104	32636	17075	32861	32757
3.16	32617	39051	32649	32491
3.208	32634	24599	32372	32382
3.264	32661	38716	32750	32888
3.312	32634	40463	32853	32649
3.36	32614	39056	32901	32519
3.408	32624	25109	32536	32405
3.448	32650	40206	32285	32469
3.496	32641	38768	32768	32805
3.544	32611	40599	32413	32603
3.592	32603	39200	32902	32686
3.64	32629	23058	32830	32838
3.696	32639	38760	32412	32709
3.752	32599	39816	32945	32394
3.808	32619	24807	32717	32697
3.872	32661	19992	32517	32875
3.944	32617	40565	32841	32605
4.008	32617	25363	32926	32764
4.064	32663	38658	32648	32846
4.128	32623	38915	32747	32434
4.184	32598	39921	32879	32516
4.248	32652	40183	33043	32793
4.304	32630	17817	32586	32520
4.368	32620	15254	32571	32643
4.424	32623	39298	32924	32688
4.488	32650	39543	32681	32773
4.56	32583	39034	32664	32660
4.624	32632	39316	32882	32681
4.688	32653	39557	32711	32830
4.744	32622	40596	32772	32601
4.8	32617	17060	32258	32406
4.856	32656	39415	32809	32832
4.912	32638	40424	32723	32538
4.968	32598	15149	32869	32698
5.024	32638	39293	32387	32380
5.08	32658	40293	32670	32866
5.144	32625	40562	32794	32763
5.208	32621	24803	32286	32461
5.272	32660	20513	32622	32859
5.336	32599	15709	32558	32711
5.4	32601	16744	32591	32642
5.464	32661	38686	32717	32882
5.52	32631	39667	32744	32754
5.576	32614	27655	33002	32574
5.632	32629	21666	32906	32772
5.696	32638	38647	32682	32741
5.744	32620	40586	32731	32456
5.8	32597	16999	32806	32703
5.856	32657	39422	32928	32806
5.912	32634	40449	32457	32693
5.968	32612	15127	32636	32750
6.024	32645	39304	32197	32445
6.08	32666	40313	32649	32848
6.136	32619	16177	32730	32503
6.184	32599	39926	32704	32414
6.24	32633	23411	32825	32834
6.296	32640	38707	32637	32787
6.36	32600	39017	32842	32720
6.416	32626	40040	32717	32488
6.48	32658	40316	32682	32849
6.544	32611	40584	32634	32509
6.6	32613	17072	32731	32644
6.656	32656	39450	32910	32746
6.712	32637	40474	32846	32772
6.768	32567	14943	32564	32566
6.824	32619	39315	33004	32767
6.88	32662	40317	32566	32852
6.936	32621	15557	32714	32724
6.992	32625	39186	32804	32730
7.048	32636	40201	32916	32813
7.104	32626	18123	32716	32475
7.16	32604	39043	32762	32759
7.224	32632	39301	32493	32445
7.28	32663	40294	32756	32905
7.336	32615	16019	32855	32487
7.4	32588	16884	32853	32698
7.456	32654	39417	32680	32771
7.52	32634	39677	32833	32672
7.576	32624	27808	32495	32562
7.632	32625	21204	32810	32646
7.688	32658	39519	32585	32863
7.744	32623	40553	32492	32686
7.8	32601	16297	32586	32744
7.856	32655	39397	32322	32669
7.912	32634	40425	32641	32739
7.96	32611	39016	32320	32382
8.016	32623	40028	32923	32605
8.072	32665	20690	32638	32863
8.136	32622	15757	32870	32675
8.192	32612	39193	32237	32336
8.256	32651	39455	32969	32835
8.32	32628	39687	32738	32505
8.384	32595	39949	32810	32243
8.44	32626	23645	32891	32783
8.504	32628	18296	32813	32528
8.568	32557	15214	32845	32628
8.624	32622	39281	32864	32830
8.68	32662	40279	32679	32920
8.736	32622	15764	32638	32718
8.784	32599	39913	32490	32618
8.84	32638	23621	32914	32692
8.896	32642	38789	32719	32685
8.96	32600	39031	32796	32752
9.016	32627	40048	32601	32597
9.064	32666	38652	32620	32709
9.12	32632	39667	32832	32736
9.176	32623	27539	32570	32701
9.232	32625	21629	32899	32729
9.288	32661	39528	32634	32871
9.344	32624	40561	32908	32707
9.4	32595	16761	32774	32494
9.464	32666	38579	32819	32702
9.52	32629	39664	32806	32625
9.576	32595	27895	32793	32388
9.624	32627	39312	33034	32760
9.68	32671	40312	32700	32891
9.744	32635	40551	32944	32717
9.808	32590	25909	32819	32744
9.872	32672	21004	32496	32870
9.928	32634	38867	32978	32681
9.984	32528	39897	32548	32521
10.048	32635	40167	32813	32808
10.112	32633	40438	32834	32581
10.176	32615	26984	32914	32662
10.24	32640	23779	32904	32804
10.296	32656	38759	32730	32766
10.352	32592	39800	32572	32489
10.408	32629	25422	32495	32608
10.464	32674	38605	32454	32502
10.52	32630	39656	32874	32557
10.576	32574	26909	32769	32600
10.632	32638	20618	32228	32421
10.688	32664	39541	32694	32872
10.752	32612	39789	32561	32512
10.808	32617	25546	32890	32804
10.872	32668	21167	32584	32794
10.928	32630	38866	33047	32718
10.984	32569	39897	32369	32553
11.04	32645	23502	32338	32403
11.096	32647	38765	32873	32801
11.152	32608	39783	32748	32416
11.208	32624	25760	32419	32536
11.264	32660	38578	32814	32830
11.32	32625	39666	32711	32488
11.376	32581	27693	32591	32426
11.44	32640	23678	32747	32588
11.504	32635	18591	32731	32499
11.552	32606	39774	32799	32752
11.608	32618	25906	32809	32688
11.664	32664	38373	32847	32867
11.72	32633	39659	32347	32668
11.768	32540	15282	32600	32476
11.832	32627	20448	32227	32593
11.888	32659	39538	32633	32818
11.944	32630	40572	32690	32802
12	32568	16313	32792	32685
12.056	32647	39387	32895	32769
12.112	32633	40402	32997	32522
12.16	32612	38993	32781	32695
12.216	32569	40013	32855	32755
12.28	32666	40283	32820	32878
12.344	32628	40553	32572	32687
12.4	32576	16501	32739	32444
12.448	32635	40134	32349	32668
12.504	32628	18633	32318	32745
12.56	32612	38984	32250	32500
12.616	32611	40006	32958	32730
12.68	32663	40265	32614	32884
12.744	32629	40542	32941	32576
12.8	32598	16398	32910	32770
12.856	32649	39395	32494	32448
12.904	32632	18193	32833	32841
12.96	32609	39001	32984	32490
13.016	32616	40040	32452	32701
13.064	32650	38342	32416	32455
13.12	32631	39647	32988	32563
13.168	32586	15357	32778	32448
13.224	32625	39260	32403	32631
13.272	32660	20937	32733	32846
13.328	32634	38840	32496	32596
13.384	32620	39888	32860	32664
13.448	32640	40161	32303	32478
13.504	32640	18693	32478	32818
13.56	32604	38981	32678	32375
13.616	32616	40008	32741	32605
13.672	32663	21651	32888	32857
13.728	32637	38850	32466	32690
13.784	32608	39890	32983	32701
13.832	32636	19328	32352	32580
13.888	32663	39498	32670	32825
13.944	32627	40541	32710	32754
14	32606	16047	32744	32472
14.064	32652	37987	32713	32528
14.112	32635	40416	33000	32522
14.168	32581	15108	32771	32681
14.224	32612	39267	32948	32781
14.288	32660	39512	32733	32840
14.344	32629	40515	32923	32592
14.4	32587	16117	32765	32659
14.448	32633	40137	32377	32645
14.504	32648	18731	32590	32768
14.56	32617	39006	32790	32533
14.616	32606	40014	32878	32517
14.672	32661	21727	32469	32713
14.728	32633	38811	32830	32753
14.784	32622	39849	32937	32769
14.84	32629	23884	32506	32705
14.904	32654	18820	32497	32821
14.96	32621	38978	32869	32763
15.016	32615	39989	32777	32395
15.072	32658	22183	32808	32572
15.12	32632	39601	32897	32497
15.176	32618	29298	32932	32562
15.232	32617	19163	32902	32748
15.288	32655	39485	32781	32872
15.352	32614	39734	32586	32722
15.416	32596	39987	32834	32739
15.464	32635	25481	32726	32503
15.52	32632	39576	32875	32680
15.576	32611	30804	32701	32675
15.632	32625	18205	32451	32553
15.704	32657	19528	32675	32737
15.76	32621	38962	32629	32440
15.816	32598	39984	32715	32466
15.864	32633	24980	32806	32800
15.92	32633	39583	32846	32610
15.976	32623	34732	32747	32640
16.032	32615	17949	32490	32378
16.08	32658	40213	32291	32521
16.136	32625	17102	32521	32643
16.192	32602	39079	32875	32504
16.248	32633	40091	32329	32428
16.304	32655	19761	32757	32846
16.36	32626	38935	32819	32720
16.424	32614	39194	32838	32667
16.48	32656	40198	32880	32817
16.536	32630	17086	32805	32738
16.592	32624	39049	32682	32726
16.648	32623	40070	32746	32588
16.704	32651	19547	32680	32848
16.76	32620	38939	32313	32671
16.816	32604	39945	32947	32491
16.872	32633	22166	32546	32726
16.928	32630	38753	32340	32710
16.984	32605	39813	32649	32552
17.048	32619	40069	32590	32557
17.112	32652	40316	32620	32830
17.168	32605	15631	32787	32432
17.224	32615	39174	32599	32611
17.288	32658	39290	32719	31189
17.44	32628	38936	32742	30748
17.488	10396	38386	32719	31824
17.552	24958	28044	32737	32642
17.616	27279	31109	32779	33195
