timestamp	ch1	ch2	ch3	ch4
10	29865	31546	32702	32472
24	39762	26373	32708	31590
38	34076	29898	32724	32147
52	37110	31708	32720	32283
66	37470	31239	32724	33096
87	38234	35043	32716	32382
101	42836	35260	32707	32971
122	34141	33392	32693	32527
136	19599	34328	32730	33019
150	29557	33925	32717	33410
164	29311	35534	32720	33635
185	40807	35729	32711	32745
206	44184	37257	32691	33180
227	41239	35971	32696	32971
241	24380	31303	32703	32762
262	39860	31992	32734	32657
276	37597	31414	32733	33466
290	35366	30061	32723	32667
304	33410	30763	32722	32690
318	31761	28413	32736	33167
332	30400	29213	32710	32992
346	29291	27496	32718	32920
360	28411	24311	32707	33259
374	27737	28799	32717	32603
388	27239	29877	32723	32351
402	26890	31890	32711	32583
416	26680	32548	32707	32494
430	26593	34124	32708	33312
444	26609	34439	32717	32056
458	26721	35333	32734	32785
472	26912	35954	32731	32854
486	27170	35754	32720	32660
500	27477	34333	32714	33024
514	27823	33726	32696	32560
528	28195	29211	32710	32090
542	28578	23281	32716	32788
556	28970	26480	32704	32803
570	29361	30147	32720	32744
584	29748	32119	32721	32219
598	30127	34324	32729	32694
612	30495	35862	32717	32561
626	30849	36779	32726	32517
640	31179	36647	32714	32766
654	31494	36849	32749	32617
675	31931	37148	32718	32957
689	32192	35868	32717	32937
703	8425	35186	32720	33037
717	12029	36302	32744	33079
731	38472	35008	32730	32693
745	37846	34918	32728	32093
759	37309	32892	32739	32240
780	36570	33530	32708	32946
801	19787	26627	32692	33123
822	28570	28490	32733	32305
836	18779	28629	32704	33348
857	18887	29620	32713	32663
878	26224	30991	32704	33283
899	34336	30747	32704	32850
920	37890	30694	32738	32827
941	39853	32375	32723	33199
962	37982	26680	32713	32969
976	38291	30203	32725	32696
997	38835	29692	32744	32956
1018	42205	31798	32686	32621
1039	43773	34537	32736	32968
1060	44505	33982	32699	32486
1081	41409	36287	32706	33426
1102	32398	37286	32683	32812
1123	35132	34723	32693	33635
1144	40993	36159	32749	33537
1165	39018	34528	32736	32825
1186	12207	32435	32704	32335
1207	51851	32635	32704	32457
1228	33193	31992	32723	32500
1249	30557	34374	32710	32462
1270	30815	33563	32690	32588
1291	30255	33530	32711	32985
1312	29359	33840	32735	33324
1333	28462	33563	32703	32675
1354	29618	33477	32713	32604
1375	33505	32486	32696	32720
1396	34354	28840	32708	33016
1417	32572	31787	32727	32950
1438	31386	33002	32715	32254
1459	32299	32875	32727	33184
1480	34074	33253	32746	32117
1501	35018	34801	32710	33076
1522	36938	33628	32711	33020
1543	33476	32733	32728	32621
1564	29053	32357	32727	32511
1585	38103	32881	32718	32937
1606	40094	34084	32714	33056
1627	36755	31687	32745	32698
1648	10169	34155	32738	32911
1669	29906	30553	32690	32301
1690	24486	31311	32701	32638
1711	23995	32360	32713	33481
1732	25281	31836	32719	33277
1753	26610	31286	32699	32112
1774	30293	30978	32716	33306
1795	34685	32358	32701	33272
1823	32135	31582	32740	32595
1851	41075	31698	32701	32785
1886	32966	31377	32719	32885
1914	39337	32839	32715	32714
1935	38435	31975	32720	32329
1956	36282	32574	32682	32070
1977	32154	30036	32730	33135
1998	29209	30941	32716	33087
