timestamp	ch1	ch2	ch3	ch4
10	40612	43340	32726	32770
24	7567	65503	32687	32729
38	23450	9706	32744	32652
52	630	32399	32723	32716
66	33478	65462	32667	32738
80	45203	34845	32747	32783
94	23695	20230	32695	32788
108	29492	40138	32711	32642
122	46861	65505	32729	32670
136	41352	18784	32686	32630
150	43245	18367	32710	32720
171	40622	14292	32695	32680
185	39129	34480	32739	32488
199	39965	65506	32659	32531
213	917	11390	32731	32516
227	4	26922	32732	32543
241	2204	65460	32668	32567
255	9099	28611	32742	32584
269	15253	12631	32737	32528
283	20403	33392	32713	32564
297	24745	41907	32684	32612
311	34836	13109	32739	32558
332	44726	19895	32737	32686
346	32663	17547	32749	32709
360	40688	37003	32625	32718
381	32897	30670	32691	32750
395	51815	43812	32667	32734
409	51118	19686	32751	32664
430	51821	40601	32684	32677
444	30653	14703	32757	32678
465	35275	7090	32722	32730
479	22623	29618	32681	32721
500	21413	20516	32682	32717
514	40793	45324	32617	32727
535	27197	38256	32727	32667
549	51779	43846	32685	32691
570	50396	65505	32662	32648
591	40797	52079	32632	32656
612	28820	41971	32753	32711
633	18440	39314	32685	32685
654	13707	29426	32681	32711
682	49267	65504	32701	32606
703	48510	65504	32725	32638
724	47959	65504	32716	32616
745	45431	13699	32723	32602
766	35247	34330	32712	32665
787	18114	22792	32719	32715
808	9121	16854	32709	32768
829	10028	4050	32680	32635
850	14735	858	32744	32663
871	18891	6777	32719	32672
892	25114	18985	32721	32671
913	25657	28017	32746	32609
934	45059	45758	32727	32669
955	48836	65507	32690	32648
976	51683	65495	32677	32684
997	51223	65505	32673	32705
1018	42097	65502	32652	32738
1039	32076	49059	32638	32696
1060	25232	41632	32675	32684
1081	20331	24750	32682	32645
1102	21952	24605	32656	32658
1123	24511	18378	32737	32651
1144	27669	20489	32751	32679
1165	35526	22606	32744	32728
1186	40758	38196	32734	32613
1214	42043	34724	32714	32630
1235	34174	26109	32724	32679
1256	25862	18156	32732	32696
1284	30722	65504	32670	32614
1312	38322	25471	32737	32645
1340	20497	19803	32756	32587
1368	46807	40562	32648	32672
1396	14626	8242	32668	32622
1424	45875	46729	32653	32618
1452	17107	7155	32687	32642
1480	39493	65505	32645	32578
1515	21834	26296	32742	32670
1550	15266	8456	32672	32653
1585	31953	21131	32719	32700
1620	51163	42662	32648	32653
1655	43293	65504	32652	32727
1690	23206	29339	32663	32694
1725	15564	12267	32668	32680
1760	32317	23895	32729	32685
1795	51163	39574	32635	32678
1830	40116	65504	32652	32686
1865	24593	44157	32734	32623
1900	15600	6263	32652	32620
1935	29985	14555	32692	32633
1970	49451	34899	32594	32680
2012	33346	24382	32718	32719
2047	51522	42393	32628	32683
2089	35806	30309	32735	32674
2124	50572	42547	32635	32647
2166	38735	32000	32753	32689
2201	51643	44730	32629	32684
2243	43870	29934	32728	32676
2278	45015	46404	32623	32663
2320	44513	37440	32716	32707
2355	47919	50132	32640	32628
2397	48458	34301	32673	32684
2439	30075	18817	32724	32694
2481	15740	6308	32671	32690
2523	20673	25773	32743	32647
2565	35604	65506	32646	32612
2607	46568	59643	32637	32681
2649	47887	40330	32746	32692
2691	31976	15989	32734	32665
2733	15779	6569	32669	32703
2775	21428	24766	32742	32650
2817	34278	65506	32646	32669
2859	49320	45078	32642	32719
2901	49465	41531	32726	32664
2943	29986	21554	32727	32666
2992	35198	65505	32645	32701
3034	48816	46919	32636	32659
3076	46618	38243	32733	32672
3118	28657	16724	32692	32692
3160	14660	8324	32671	32595
3202	22113	22344	32750	32666
3251	46290	33122	32740	32743
3293	24703	22050	32694	32676
3335	15168	13571	32672	32684
3384	49586	41873	32623	32697
3426	40868	32285	32756	32644
3475	27089	38073	32716	32675
3517	40124	65504	32643	32674
3566	18020	6773	32682	32638
3615	43971	63024	32634	32741
3664	14636	15886	32683	32683
3713	50031	46345	32620	32668
3769	42046	65504	32649	32580
3818	17871	11557	32679	32665
3874	29389	14734	32711	32709
3930	42534	29060	32750	32682
3986	51302	40003	32626	32697
4035	20300	17552	32747	32690
4084	46155	35624	32669	32711
4133	22385	29399	32677	32639
4182	43705	31590	32738	32613
4231	26654	29444	32651	32692
4287	19431	21542	32736	32667
4336	48161	31700	32753	32702
4392	50047	44306	32617	32694
4441	16382	13307	32658	32667
4490	50145	40682	32726	32703
4539	18800	21716	32740	32638
4588	46383	35617	32739	32716
4637	22357	28751	32744	32698
4686	42487	27789	32738	32701
4735	26708	33508	32662	32661
4784	34961	23624	32733	32650
4840	47476	36733	32706	32680
4889	22669	32678	32742	32632
4938	42893	26547	32738	32659
4987	26829	33682	32654	32627
5043	24240	17367	32742	32629
5099	17594	9024	32665	32669
5148	50696	46557	32640	32631
5197	16166	13169	32677	32675
5253	16423	10117	32680	32655
5302	48763	65471	32650	32703
5358	37082	65504	32643	32692
5414	27956	35736	32648	32646
5470	20144	24798	32730	32662
5526	15078	11504	32675	32651
5582	18072	13288	32695	32604
5638	15259	16136	32740	32626
5694	48775	26959	32718	32707
5750	34246	41365	32714	32681
5806	28249	46466	32685	32688
5862	33776	65504	32699	32645
5918	36186	42001	32683	32685
5974	36726	22887	32700	32588
6030	48524	14362	32696	32758
6086	38684	14067	32716	32643
6142	33043	13948	32698	32728
6198	29705	30374	32710	32671
6254	25560	38205	32711	32651
6310	24065	65504	32716	32638
6366	24826	65505	32710	32610
6422	26657	38658	32740	32639
6478	28694	22056	32748	32613
6534	30528	17013	32717	32650
6590	32002	7328	32710	32724
6646	33075	18659	32726	32624
6702	12461	30333	32718	32660
6758	9964	38502	32734	32693
6821	18827	13972	32748	32681
6877	17759	23643	32694	32653
6933	20790	33742	32690	32716
6996	32856	11438	32730	32692
7052	34905	21459	32758	32714
7122	39828	65502	32727	32632
7192	42631	14117	32735	32637
7255	45732	37212	32739	32665
7311	49630	26990	32735	32644
7374	38000	65503	32694	32665
7437	17278	33658	32684	32679
7500	30918	9147	32769	32646
7563	43685	27450	32732	32629
7626	18328	65504	32715	32712
7696	26845	16428	32719	32662
7759	33171	65506	32728	32613
7822	35780	42406	32689	32692
7885	36276	18773	32739	32681
7948	35667	13783	32744	32668
8011	34655	65503	32713	32662
8081	33570	11631	32744	32640
8144	32820	28088	32725	32633
8207	32315	65500	32739	32657
8270	32045	34151	32725	32719
8333	31962	9097	32743	32622
8396	31994	34393	32738	32663
8459	32092	65504	32726	32647
8522	32220	30355	32707	32684
8585	32748	5959	32751	32639
8655	32070	42852	32725	32662
8718	32288	19789	32720	32701
8788	32987	65504	32729	32618
8858	34531	12873	32727	32676
8928	29987	34088	32722	32658
9005	29029	34596	32744	32662
9075	38449	35016	32726	32644
9145	28263	12232	32739	32632
9215	30522	47515	32738	32697
9285	37569	16764	32707	32666
9362	26685	15170	32713	32683
9432	27536	35776	32702	32672
9502	49247	65505	32717	32630
9579	45621	37223	32732	32647
9649	25410	13654	32736	32636
9726	23328	15749	32735	32681
9796	22628	47059	32733	32669
9873	29265	65505	32748	32704
9943	43433	16958	32722	32680
10020	39969	8689	32737	32638
10097	41211	8464	32733	32650
10174	36799	11624	32739	32651
10251	34322	5405	32751	32632
10328	33120	7073	32753	32636
10405	31277	10536	32729	32691
10475	22862	48764	32727	32693
10552	23878	47798	32732	32668
10622	49576	19575	32728	32682
10699	45471	15373	32729	32692
10776	47848	16140	32745	32630
10846	12363	30766	32691	32669
10923	12488	35508	32728	32678
11000	13231	40707	32710	32675
11077	14569	40399	32721	32694
11154	15950	39373	32744	32694
11231	18441	46071	32728	32699
11308	20229	45171	32733	32656
11385	25634	48186	32725	32684
11462	28834	65505	32740	32681
11532	48517	16298	32727	32688
11609	47379	20781	32738	32687
11686	44939	14339	32751	32608
11756	13337	34335	32710	32748
11833	16084	34550	32719	32618
11903	51270	52032	32706	32664
11980	51699	29882	32724	32681
12050	22242	14043	32720	32664
12127	17782	20746	32722	32699
12197	35367	65505	32735	32611
12274	35846	44479	32700	32674
12344	40170	13527	32750	32633
12421	36406	9438	32749	32659
12491	15151	38673	32723	32619
12568	17429	40553	32747	32639
12638	50726	39128	32727	32648
12715	50802	22207	32746	32665
12785	14401	22571	32708	32645
12862	8293	25956	32696	32706
12932	40850	46195	32704	32715
13009	42086	65506	32698	32620
13079	39262	13502	32736	32660
13149	13869	46422	32740	32661
13226	15443	42306	32732	32659
13296	51767	29075	32739	32589
13373	51804	20902	32721	32604
13443	10052	21642	32688	32668
13520	7791	28180	32719	32661
13597	6784	32096	32707	32649
13667	46073	65504	32704	32666
13744	47847	65505	32704	32641
13821	50487	37658	32707	32626
13891	26919	11333	32724	32638
13968	24268	12248	32715	32628
14038	27156	48953	32740	32655
14115	29038	46527	32726	32664
14185	51807	14727	32759	32672
14262	51787	11803	32738	32637
14332	6932	32182	32725	32686
14409	8633	37692	32728	32697
14479	51802	43908	32702	32631
14556	51802	35696	32693	32676
14633	51809	29104	32753	32672
14703	13987	19152	32715	32635
14780	11228	17018	32706	32642
14850	39607	65506	32712	32670
14927	39002	65504	32723	32679
14997	42946	13626	32750	32712
15074	34299	3892	32734	32658
15151	40680	13299	32739	32702
15221	14726	42003	32722	32675
15298	18079	47496	32728	32681
15368	17420	23693	32724	32624
15445	22823	19977	32733	32591
15522	29024	18373	32722	32653
15599	51821	15670	32710	32661
15676	7213	12237	32739	32700
15753	28940	13372	32746	32608
15830	37107	15359	32740	32618
15907	51814	13256	32727	32654
15984	51471	10613	32724	32697
16061	3434	10806	32742	32645
16138	43912	8566	32720	32711
16215	41548	17502	32716	32701
16292	31202	11707	32720	32698
16369	5315	15380	32736	32736
16446	21295	23381	32744	32696
16523	38062	24300	32726	32638
16593	42821	48325	32695	32599
16670	42266	46869	32681	32699
16740	39511	14728	32742	32642
16817	36224	6639	32753	32598
16887	33837	44400	32658	32731
16957	32219	31521	32714	32652
17027	31305	27954	32719	32698
17097	30935	65504	32692	32640
17167	36762	10953	32690	32642
17237	18363	30233	32730	32661
17307	24806	38373	32726	32689
17377	14074	11884	32755	32676
17454	50341	11984	32703	32744
17531	38626	19155	32707	32710
17601	8783	47957	32685	32658
17671	20764	12339	32731	32596
17741	36546	33995	32757	32698
17818	42244	30430	32724	32737
17888	42030	32480	32733	32662
17958	39576	14353	32729	32688
18028	51820	65501	32715	32648
18105	41368	65506	32736	32671
18175	31981	10531	32674	32728
18252	27449	13122	32702	32676
18322	23226	35659	32721	32658
18399	23324	36732	32648	32673
18469	4	65506	32747	32731
18546	7510	36019	32727	32670
18616	47131	24170	32744	32665
18693	44202	24236	32732	32637
18763	39275	46781	32743	32686
18840	51814	47064	32732	32674
18910	18822	14201	32729	32617
18987	11063	12865	32723	32632
19064	6512	12790	32749	32680
19134	27821	41874	32674	32722
19211	39747	46657	32676	32735
19281	26960	18892	32749	32636
19358	36323	24668	32646	32670
19435	14920	15928	32659	32666
19512	7208	12954	32675	32678
19589	23538	11862	32744	32656
19659	51811	34480	32737	32684
19736	49512	35781	32726	32619
19813	47248	40250	32613	32689
19883	21245	32046	32655	32675
19960	20262	32730	32735	32677
20030	31198	15745	32687	32701
20107	21383	26697	32744	32651
20177	34464	47056	32703	32694
20247	51811	10957	32716	32642
20324	40318	16240	32714	32631
20394	33024	40218	32727	32691
20471	25919	44923	32744	32656
20541	24612	28327	32724	32585
20611	26140	21355	32719	32674
20688	4	23234	32744	32681
20758	51807	65505	32707	32644
20835	39738	65506	32716	32650
20912	9107	65506	32717	32660
20982	51815	10857	32721	32663
21059	46641	14174	32726	32697
21129	17442	45175	32693	32661
21199	35008	22264	32721	32633
21276	41820	20936	32732	32674
21346	42123	24773	32728	32671
21416	50167	41348	32726	32701
21486	36975	10179	32711	32704
21563	29223	12537	32730	32695
21633	23635	46235	32732	32626
21703	30720	25831	32719	32649
21773	12806	24425	32726	32666
21843	30596	65505	32723	32605
21913	42638	6504	32734	32611
21983	45479	40027	32741	32689
22060	43363	45600	32714	32692
22130	39722	24694	32726	32648
22200	36253	25155	32733	32729
22277	33389	23776	32742	32644
22347	31732	65503	32754	32702
22417	37145	14167	32742	32649
22487	26159	41548	32723	32691
22557	45099	41714	32735	32677
22627	20745	19949	32746	32702
22697	24170	65505	32742	32645
22767	36910	14486	32729	32671
22844	34207	9629	32712	32640
22914	24417	37639	32731	32660
22984	40498	44703	32728	32598
23054	31585	17507	32734	32676
23131	31042	12004	32748	32674
23201	35996	48053	32732	32646
23271	45262	17431	32716	32683
23341	19992	28318	32712	32689
23411	45332	65504	32726	32655
23481	27988	23034	32739	32662
23558	30090	12399	32726	32709
23628	29202	48610	32709	32632
23698	41861	25713	32724	32612
23775	32808	15926	32722	32657
23845	21333	30916	32720	32703
23915	43630	65506	32732	32663
23992	41165	65504	32715	32650
24062	36227	13048	32744	32692
24139	35178	8097	32737	32669
24209	29390	44467	32746	32713
24286	33226	47333	32738	32661
24356	45700	23078	32716	32615
24433	38263	15039	32736	32685
24510	33329	14179	32753	32659
24580	7328	31594	32699	32674
24657	19685	31085	32701	32653
24734	22491	39928	32733	32730
24804	51000	36679	32732	32673
24881	47655	44475	32734	32663
24951	39207	20604	32707	32663
25028	21604	17349	32707	32759
