timestamp	ch1	ch2	ch3	ch4
10	27885	35839	32737	22819
17	42926	23523	32707	28978
31	31043	36607	32725	17275
38	38931	23712	32657	41107
52	32185	33407	32736	32121
66	21315	33969	32767	15655
80	33040	26257	32745	44398
94	39533	27565	32728	65501
108	28184	42141	32670	26442
122	25803	37718	32720	23067
136	40256	31266	32635	65500
150	37816	44614	32703	42531
164	27423	50744	32704	15610
178	34798	37540	32751	38087
192	43260	36045	32640	65504
206	31366	53942	32723	27354
227	36986	61827	32690	47093
241	30344	65506	32713	42137
255	40086	65507	32750	38706
269	43199	36756	32692	35904
283	32000	65506	32710	33765
297	30328	65507	32623	31941
311	40128	19219	32746	30544
325	34441	21276	32671	29423
339	25500	65470	32718	28545
353	33299	50396	32686	27917
367	36590	10440	32671	27396
381	27881	14881	32676	26972
395	26111	17899	32731	25884
409	34460	13159	32744	24875
423	32255	19618	32713	24608
444	35704	16598	32771	24321
465	35343	18220	32707	25058
479	25477	16726	32619	25165
493	22329	9710	32701	26340
514	21198	14613	32632	27401
528	29361	7619	32686	27763
542	34694	15010	32713	28425
563	36094	19544	32714	29493
577	29506	36242	32679	30013
591	26733	34866	32719	30819
612	27394	42684	32736	32407
626	34409	37881	32670	32853
640	39139	39439	32696	33732
654	31849	47770	32629	33883
675	34167	50594	32713	34736
689	30635	47468	32730	34608
710	30005	49017	32704	35088
724	34539	40975	32709	34776
745	31633	42518	32714	34506
766	28484	41163	32761	35370
787	27255	38442	32668	35933
801	34742	35817	32688	35208
822	30980	36150	32747	35538
843	27156	24608	32739	35115
857	38962	28356	32706	34989
878	34529	19851	32712	34324
899	32618	28974	32658	34204
920	28660	31956	32706	34303
934	38009	27161	32689	33531
948	34618	37672	32635	33964
962	27024	37988	32730	33950
983	26696	37820	32679	33422
1004	27461	36145	32780	33064
1025	31600	35589	32760	33145
1039	27304	35141	32736	32867
1060	27069	35596	32694	32942
1081	28742	36081	32691	32531
1102	29191	37221	32697	32809
1123	32817	34673	32690	32115
1144	35043	35178	32739	32482
1172	30884	33726	32653	32458
1186	38071	27429	32709	32360
1207	36668	26330	32735	32192
1228	34115	26320	32650	32556
1242	36217	30485	32675	31999
1263	36024	29810	32698	32700
1277	30825	39362	32694	32270
1298	34887	35876	32675	32583
1312	28158	38471	32737	32619
1340	36951	33139	32702	32751
1361	39033	26906	32699	32053
1382	36525	22743	32744	32600
1396	34052	34021	32746	32356
1417	35936	32196	32617	32639
1438	38286	29286	32717	32561
1459	37846	30114	32688	32238
1480	37370	26665	32673	32449
1501	33832	26518	32715	32052
1522	30923	32246	32705	32495
1543	30218	33688	32652	32313
1564	27697	35290	32732	31984
1585	26929	38628	32765	32301
1606	28581	39929	32649	32730
1627	28831	38015	32631	32318
1648	32086	36564	32753	32415
1669	33913	31538	32690	32475
1690	36507	33292	32659	32146
1711	38697	29972	32654	32870
1732	39314	23363	32722	31818
1753	37677	29810	32678	32488
1774	34627	29421	32676	33221
1795	29521	31487	32733	32959
1816	28213	31764	32654	32384
1837	27413	36336	32666	32717
1858	27767	37999	32721	32867
1886	39075	26323	32672	32495
1907	39558	28839	32686	32705
1928	37716	25625	32721	32608
1949	33732	29657	32678	32561
1970	31280	32585	32731	33003
1991	28515	37300	32675	32119
2012	27201	37287	32692	32825
2033	27071	33905	32709	32384
2054	27301	39425	32698	32899
2075	29401	36919	32742	32913
2096	33113	38304	32697	32854
2124	34368	26719	32645	32263
2145	31300	28880	32669	32438
2166	27856	35903	32670	32405
2187	27043	33434	32674	32346
2208	27510	37363	32717	33123
2236	37162	26288	32709	32385
2257	39070	28007	32723	32468
2278	36527	26478	32737	33106
2306	27908	36433	32684	32767
2327	28758	36857	32720	32395
2348	31195	37554	32768	32623
2369	33315	37629	32645	32719
2390	37365	33246	32622	33015
2418	31297	27849	32681	33171
2439	27114	32881	32713	32305
2460	27059	33320	32647	32567
2481	26135	38223	32769	32938
2502	29071	40408	32674	32586
2530	38977	23027	32705	32496
2551	35048	26531	32721	32294
2572	33428	30029	32731	32326
2593	31119	29816	32749	32365
2621	32063	34590	32707	32791
2642	34515	33630	32748	32802
2670	31906	27466	32688	32910
2698	28826	40793	32682	32397
2719	31556	39969	32674	32647
2740	36130	35296	32688	32844
2761	37310	29544	32736	32541
2789	29178	32997	32688	32512
2810	28782	40084	32667	32836
2831	26790	34578	32644	33271
2852	27977	39294	32714	32950
2880	38555	26706	32752	32820
2901	37157	25958	32659	32615
2922	34251	25775	32655	32485
2943	31203	32134	32682	32419
2971	31803	39540	32582	32314
2992	33396	36580	32637	32315
3013	35916	34362	32707	32644
3041	30150	33047	32696	32702
3069	31180	36471	32678	32617
3090	34514	38169	32715	32338
3111	36798	32506	32686	32457
3132	38055	27541	32722	32151
3153	38934	29174	32675	32529
3174	36977	27570	32715	33117
3195	34395	30765	32676	32654
3216	31114	30764	32668	32220
3237	27403	34898	32736	32772
3258	27404	36107	32761	32727
3279	27256	37887	32708	32556
3307	39132	26059	32580	33220
3328	37302	27139	32670	32888
3349	36609	26446	32695	32767
3370	35369	29078	32759	32912
3398	27781	37101	32724	32015
3419	32073	37230	32742	32760
3447	34389	25295	32626	32710
3468	32131	27643	32725	32513
3496	29859	36971	32673	32472
3524	37076	29032	32696	32304
3552	27147	37052	32719	32664
3580	38589	24461	32729	32444
3601	38526	29200	32704	32848
3629	27801	41656	32726	32948
3650	28069	38788	32665	32519
3678	39797	29891	32673	32427
3706	27267	34370	32668	32720
3734	36929	31918	32730	32471
3755	38095	26846	32689	32426
3783	26492	34508	32612	32779
3811	35869	32852	32708	32256
3846	29573	37565	32668	32716
3867	31902	35761	32724	32597
3888	34750	35794	32640	32916
3916	30197	30461	32672	33008
3937	31223	38723	32647	32620
3965	33684	39320	32708	32574
3986	35032	32901	32633	32706
4007	38087	28923	32751	33147
4035	26566	33244	32694	32534
4063	33887	37910	32698	32536
4084	37853	32978	32634	32092
4112	30769	34915	32697	32561
4140	33304	35582	32696	32526
4168	34847	29010	32705	32735
4196	29271	36187	32683	32488
4224	37255	24810	32748	33115
4252	27632	35312	32693	32795
4273	28105	35291	32672	32805
