timestamp	ch1	ch2	ch3	ch4
0	31839	35218	32654	32661
0.016	35201	32790	32727	32704
0.04	32543	33980	32663	32565
0.064	34445	33410	32666	32524
0.088	33839	34008	32644	33003
0.112	34439	34276	32726	32587
0.136	31804	31957	32725	32710
0.16	32621	34251	32756	32525
0.192	29112	30776	32702	32736
0.216	31345	31114	32812	32345
0.24	30370	31264	32648	32438
0.264	30364	33798	32676	32574
0.288	31297	33111	32766	32477
0.312	32529	32409	32766	32615
0.336	32070	32794	32697	32840
0.36	32818	32556	32702	32815
0.384	32342	34399	32744	32358
0.408	32035	36104	32716	32523
0.432	31604	35178	32752	32698
0.456	32470	33750	32686	32748
0.48	34018	33521	32673	32703
0.504	33326	31781	32686	32705
0.528	33190	30844	32719	32754
0.552	32707	30632	32717	32745
0.576	32996	33576	32761	32683
0.6	32460	34447	32682	32617
0.624	34415	34058	32638	32853
0.656	33343	33452	32674	32711
0.688	35525	33260	32716	32777
0.72	34704	34823	32730	32891
0.744	35833	33930	32712	32723
0.776	32208	39745	32732	32490
0.8	38007	20632	32683	32385
0.832	37533	15641	32730	32661
0.856	24206	39277	32752	32740
0.88	18290	40213	32712	32321
0.904	35588	65506	32644	32596
0.928	33410	40118	32702	33114
0.952	37495	36339	32679	32702
0.984	30912	32204	32711	32602
1.008	24149	36015	32743	32753
1.04	25308	38947	32687	32688
1.064	26167	24997	32697	32623
1.096	31522	25724	32784	32517
1.12	32057	28416	32721	32652
1.152	31425	33201	32708	32514
1.184	32327	32046	32735	32753
1.216	31779	27974	32701	32815
1.248	34254	27797	32669	32719
1.28	37640	31889	32689	32482
1.312	39333	32781	32690	32684
1.352	40506	31371	32704	32486
1.384	37637	35509	32721	32748
1.416	36520	37299	32722	32639
1.448	34778	35959	32733	32493
1.48	36240	36243	32740	32404
1.512	34091	37871	32593	32606
1.544	34522	34373	32733	32956
1.576	31857	37626	32697	32755
1.608	30579	35656	32675	32874
1.64	28743	35560	32706	32124
1.672	29222	32121	32660	32511
1.704	31029	33659	32730	33078
1.744	30684	30891	32680	32468
1.776	30743	33134	32700	32502
1.808	30086	33101	32747	32634
1.84	29234	30987	32688	32868
1.872	30323	31776	32631	32859
1.904	30886	30763	32666	32534
1.936	32977	30306	32674	32951
1.968	29538	23975	32725	32718
2	30217	29144	32670	32488
2.032	30596	30775	32790	33010
2.064	32820	30222	32694	32811
2.096	33585	32670	32732	32627
2.128	34428	29821	32708	32567
2.16	33321	33208	32762	32826
2.192	32509	32868	32762	32489
2.224	34253	35871	32739	32617
2.264	34142	36204	32729	32558
2.296	34375	34513	32709	32794
2.328	34148	30766	32697	32862
2.36	32990	33573	32683	32779
2.392	32295	32360	32725	32805
2.424	31879	32803	32695	32478
2.456	32573	33249	32677	32476
2.488	32165	33269	32723	32429
2.528	33093	30466	32759	33165
2.56	32071	27773	32697	32699
2.592	31666	29546	32725	32574
2.632	30166	31461	32738	32454
2.664	31396	31488	32696	32898
2.704	34440	34336	32712	32797
2.736	33913	33787	32669	33322
2.776	33141	34743	32711	32795
2.816	32528	33869	32704	32682
2.848	32721	34385	32644	32563
2.888	32502	34828	32715	32575
2.92	32885	34591	32713	32449
2.96	32708	31735	32721	32731
2.992	32169	32739	32710	32591
3.032	31353	33027	32781	32681
3.072	31424	33102	32751	32579
3.104	32929	32634	32668	32799
3.144	33316	31813	32760	32633
3.184	33298	33910	32764	32719
3.224	32367	33018	32721	32874
3.264	33265	33606	32711	32526
3.304	32695	33628	32716	32602
3.336	33361	31505	32706	32619
3.376	32223	30154	32733	32728
3.408	33459	33147	32685	32649
3.448	31000	33080	32734	32825
3.48	31857	31686	32674	32626
3.52	31440	30153	32751	32902
3.552	32732	32874	32692	32272
3.592	33267	34507	32722	32602
3.624	31731	34935	32730	33083
3.664	31804	32797	32707	32734
3.696	33392	31029	32710	32530
3.736	32981	30702	32672	32681
3.776	34101	32139	32747	32470
3.808	32254	32857	32739	32685
3.848	31563	32307	32735	32508
3.88	32795	30248	32705	32534
3.92	32894	31623	32694	32256
3.952	32693	34169	32637	32288
3.992	33008	31646	32761	32604
4.024	31936	33946	32701	32413
4.064	32404	32925	32748	32300
4.096	32857	31869	32744	32675
4.136	32451	33095	32683	32734
4.168	33307	30564	32677	32800
4.208	32601	33068	32782	32450
4.24	31101	32577	32637	32500
4.272	32030	35065	32754	32508
4.312	32723	32945	32767	32523
4.344	35388	34133	32752	32799
4.384	32994	32518	32729	32855
4.416	33327	32546	32659	32713
4.448	34701	38599	32712	32791
4.488	32612	36474	32643	32821
4.52	34007	30470	32708	32646
4.552	32753	31811	32726	32701
4.592	30807	30051	32668	32494
4.624	30741	31791	32721	32881
4.656	32135	33297	32723	32790
4.696	33671	33367	32660	32788
4.728	33780	31812	32726	32683
4.768	31276	28711	32803	32685
4.8	30815	29476	32755	32695
4.84	30419	32018	32667	32997
4.872	32074	33486	32673	32783
4.904	32048	32948	32690	32423
4.936	32937	34702	32729	32513
4.976	33659	32965	32733	32944
5.008	33415	31568	32694	32611
5.048	31799	34853	32686	32572
5.08	33293	34709	32633	32611
5.12	34072	35842	32734	32461
5.152	34847	34008	32728	32566
5.192	34056	32227	32729	33064
5.224	32963	31353	32805	32559
5.264	30060	33517	32741	32538
5.296	30473	32421	32726	32847
5.336	32763	31300	32782	32309
5.376	32586	29460	32784	32851
5.408	32129	31385	32737	32960
5.448	31360	31930	32777	32536
5.488	30415	33965	32804	32395
5.528	32538	31762	32746	32633
5.568	31913	33038	32724	32391
5.608	33963	34585	32684	32597
5.648	33297	34436	32699	32576
5.688	32086	34596	32725	32700
5.72	31919	34146	32767	32584
5.76	33536	33135	32644	32707
5.8	33447	32385	32665	32705
5.84	33866	33592	32710	32669
5.88	32868	31189	32725	32500
5.92	32125	33628	32733	32503
5.96	33633	31511	32678	32688
6	34662	31205	32679	32564
6.032	32744	31656	32678	32824
6.072	32206	31903	32716	32652
6.112	33238	35949	32773	32885
6.152	33529	34926	32715	32724
6.192	32988	32923	32712	32594
6.232	32760	31995	32623	32744
6.272	32029	33243	32729	32569
6.312	29398	27106	32740	32645
6.344	31793	27758	32728	32519
6.384	33471	30875	32654	32535
6.424	32888	31284	32742	32687
6.464	33812	33022	32731	32549
6.504	32517	35692	32701	32683
6.544	35903	37905	32680	32992
6.584	34752	35272	32736	32834
6.624	34101	32634	32692	32654
6.664	32747	32707	32757	32601
6.704	30093	32890	32709	32574
6.744	32357	30790	32673	32719
6.784	32600	31949	32642	32672
6.824	31744	28473	32666	32842
6.864	30824	29528	32715	32716
6.904	31226	32786	32713	32601
6.944	31813	31555	32734	33047
6.984	35207	32703	32673	32452
7.024	33786	32836	32689	32759
7.064	33231	33671	32671	32790
7.096	33406	34263	32705	32919
7.136	33336	34131	32749	32416
7.176	35007	33686	32717	32695
7.216	34022	32345	32725	32571
7.256	34114	36267	32712	32603
7.296	33411	33408	32683	32783
7.336	33866	32929	32735	32741
7.376	32148	28926	32719	32720
7.416	32675	30886	32713	32717
7.456	31861	31652	32713	32704
7.488	29864	32766	32779	32650
7.528	32276	31802	32742	32589
7.568	33405	33523	32766	32721
7.608	33237	29780	32703	32533
7.648	32507	30901	32691	32920
7.68	31955	31463	32703	32601
7.712	30835	33406	32702	32898
7.744	33566	32034	32803	32800
7.776	33249	32236	32678	32661
7.808	34922	33535	32663	32758
7.848	32726	32500	32686	32725
7.88	32537	33306	32684	32752
7.92	32634	34192	32755	32739
7.952	32487	32274	32722	32604
7.984	34162	31778	32734	32730
8.016	33310	32532	32673	32749
8.048	32555	32193	32743	32607
8.08	32241	34769	32705	32659
8.112	32270	34510	32694	32559
8.144	33294	29933	32680	32709
8.184	32844	32502	32778	33046
8.224	33197	31800	32765	32644
8.264	33889	32709	32737	32897
8.296	32835	32854	32778	32592
8.328	32387	35053	32729	32772
8.36	33330	32348	32727	32700
8.392	32984	32247	32734	32589
8.424	32879	31352	32653	32762
8.464	31769	30854	32721	32784
8.504	31778	33761	32661	32577
8.544	33273	32675	32736	32707
8.584	32971	32435	32656	32596
8.624	33833	30830	32678	32701
