timestamp	ch1	ch2	ch3	ch4
10	32450	30590	32724	32743
24	33145	30423	32727	32671
38	32508	35239	32693	32630
73	32676	33191	32697	32768
108	32667	32007	32696	32867
129	31657	33979	32712	32747
157	33109	34074	32720	32765
185	31855	30764	32697	32818
220	31529	29377	32728	32458
248	33088	36939	32731	32637
276	33092	33175	32715	32475
304	32985	34269	32715	32579
339	32190	30661	32727	32791
367	32436	34353	32705	32517
395	33396	33569	32735	32529
430	33229	33246	32701	32417
458	32614	31191	32721	32589
493	32581	28601	32724	32822
528	32514	30189	32710	32591
563	32613	35035	32708	32449
598	32610	34081	32691	32865
640	33103	34130	32701	32540
682	32929	32766	32714	32612
731	32102	32300	32710	32543
780	32986	32675	32720	32665
822	32566	31291	32726	32599
857	33184	31446	32717	32599
899	32795	31109	32733	32421
934	32705	33069	32737	32520
969	32835	35525	32729	32471
1004	31905	34952	32714	32961
1046	32835	34132	32721	32772
1088	33308	34300	32702	32640
1123	33121	35978	32712	32704
1158	32378	34338	32725	32600
1200	32817	32555	32725	32726
1242	32433	34137	32700	32736
1277	32123	33211	32716	32572
1319	33343	35240	32668	32885
1354	33205	36291	32723	32741
1389	32950	33876	32713	32736
1438	33063	32533	32696	32803
1473	32894	34748	32693	32741
1508	32342	34163	32711	32208
1550	32790	35287	32729	32315
1592	33390	33866	32713	32623
1627	32787	34407	32730	32806
1669	32950	34481	32707	32686
1711	32830	30918	32709	32624
1753	32364	29495	32735	32871
1795	33014	32791	32715	32737
1830	31961	30014	32713	32690
1865	32767	32818	32722	32570
1900	32997	34462	32716	32632
1942	33899	33898	32715	32741
1984	32560	29034	32708	32783
2019	32518	30254	32693	32643
2061	32463	30127	32694	32951
2103	31687	28802	32719	32573
2145	32187	33037	32718	32403
2187	32316	34077	32728	32816
2229	32151	33972	32718	32561
2271	33913	34689	32718	32670
2306	32663	35982	32727	32782
2341	32194	32595	32715	32663
2383	33553	35946	32701	32691
2425	33671	36231	32721	32573
2467	33293	30646	32706	32738
2509	34526	28386	32712	32670
2544	32897	32630	32710	32831
2586	33557	28610	32710	32563
2628	32328	32981	32715	32627
2670	33147	32728	32729	32610
2712	32608	35508	32723	32477
2761	31797	29160	32698	32656
2803	32802	31950	32713	32759
2845	32333	33893	32729	32699
2894	33857	34013	32722	32789
2936	31734	31201	32716	32889
2978	32402	31652	32719	32897
3020	33634	34843	32711	32529
3055	31791	30938	32718	32827
3104	34037	35180	32701	32690
3153	31466	30687	32702	32695
3188	32736	31375	32700	32812
3244	32470	30716	32720	32739
3293	32397	32929	32686	32730
3342	31702	30039	32733	32639
3391	33267	35416	32701	32811
3447	32992	34498	32732	32566
3496	32294	30670	32707	32577
3538	32247	31670	32725	32778
3587	33126	33448	32706	32641
3629	32682	31352	32698	32754
3671	30826	25564	32705	32599
3720	33012	33638	32691	32529
3769	32835	34411	32739	32586
3818	34459	42781	32701	32472
3860	33776	37192	32704	32773
3902	32788	31798	32728	32618
3958	32888	31458	32720	32606
4007	32034	33582	32724	32732
4063	31520	28029	32709	32645
4105	31651	32297	32710	32622
4154	32560	32166	32718	32593
4203	32394	34673	32691	32616
4252	33301	31465	32707	32444
4294	31678	30087	32719	32562
4343	33138	36088	32727	32420
4392	32023	33298	32717	32811
4434	31741	31691	32703	32651
4476	32847	34339	32722	32785
4518	34136	35399	32704	32792
4567	32217	28363	32720	32786
4616	34774	35371	32719	32612
4665	31195	25638	32723	32984
4728	32743	35088	32712	32631
4777	31417	30697	32708	33048
4826	33212	34184	32687	32558
4875	32743	29437	32684	32616
4924	33067	35540	32700	32666
4973	32110	30819	32732	32923
5029	33057	34371	32732	32745
5078	32464	34578	32709	32551
5127	31998	28583	32710	32640
5176	32805	34698	32716	32583
5225	32131	30741	32726	32850
5267	31545	30799	32700	32610
5323	31644	30529	32712	32701
5372	33642	34903	32724	32625
5421	31814	32060	32699	32551
5470	33610	34908	32713	32557
5519	31918	32543	32720	32730
5568	33800	33006	32718	32571
5617	31959	31340	32723	32660
5666	32916	34351	32731	32668
5715	32126	32550	32722	32403
5764	32847	32457	32702	32564
5813	32033	33720	32743	32724
5869	31172	29713	32707	32833
5918	33337	34882	32708	32766
5967	32834	35452	32704	32739
6023	32361	34329	32697	32754
6072	33707	35471	32711	32434
6121	32131	30670	32718	32409
6170	33515	33558	32719	32781
6219	32146	31452	32722	32377
6268	33308	33393	32702	32345
6317	32201	31714	32705	32478
6373	31605	28448	32711	32648
6422	32343	28601	32717	32475
6471	31479	30598	32712	32941
6513	32812	36530	32723	32547
6569	34819	43297	32710	32769
6618	33671	36304	32721	32742
6674	30390	35338	32715	32637
6730	31454	28491	32721	32580
6786	35277	33701	32684	32543
6842	32954	30560	32728	32642
6884	30664	30973	32698	32489
6933	31256	29788	32712	32724
6989	30998	30181	32734	32861
7045	32971	31435	32718	32654
7094	33378	34401	32724	32859
7150	31351	28452	32731	32559
7206	35087	30673	32728	32568
7262	31989	27774	32712	32698
7325	34039	37504	32716	32516
7381	32704	33672	32715	32779
7430	32513	33312	32704	32820
7486	33410	28688	32712	32737
7535	31360	26620	32710	32758
7591	31913	30895	32702	32566
7640	33135	34574	32734	32669
7696	32580	32313	32703	32412
7752	31739	29981	32721	32853
7801	32537	33872	32740	32630
7850	32058	31706	32711	32704
7906	32406	32391	32724	32776
7955	34350	31842	32702	32594
8025	35509	30845	32714	32748
8081	33463	34251	32718	32523
8137	31725	32830	32710	32805
8193	33722	28814	32713	32819
8249	30144	29231	32734	32674
8305	31922	33593	32710	32578
8361	32595	30856	32702	32823
8424	32186	34695	32700	32599
8480	32553	35920	32699	32511
8536	31151	36440	32682	32410
8592	32015	37274	32708	32673
8655	33292	29691	32720	32825
8718	32124	23804	32725	33087
8774	33953	29182	32711	32800
8837	32492	34054	32706	32853
8893	33245	30687	32717	32624
8949	30861	31589	32732	32809
9005	32130	29341	32706	32568
9061	33047	34775	32702	32581
9124	32438	28608	32714	32998
9180	31405	30224	32720	32638
9236	33187	34017	32702	32862
9306	32199	35005	32707	32567
9376	32094	31359	32693	32783
9432	32903	32659	32722	32546
9488	32420	32722	32686	32667
9551	33021	31932	32702	32576
9607	33598	32349	32728	32936
9663	32487	31421	32718	32728
9726	31318	36591	32731	32739
9789	31907	30281	32726	32669
9845	32071	30206	32718	32484
9908	31313	30003	32740	32697
