timestamp	ch1	ch2	ch3	ch4
0	28404	35742	32732	32733
0.016	36727	32627	32696	32831
0.04	37732	36140	32714	32724
0.064	31556	30840	32713	32658
0.088	34743	33931	32718	32758
0.144	35924	33041	32734	32618
0.192	37750	31498	32730	32731
0.216	37726	28141	32720	32613
0.24	37278	31150	32747	32633
0.256	38362	32916	32677	32466
0.28	39176	35180	32702	32687
0.304	38545	32134	32761	32528
0.32	37241	34550	32772	32570
0.344	34626	29849	32728	32543
0.368	31352	30015	32714	32710
0.392	33009	35715	32738	32691
0.416	38463	42678	32703	32673
0.44	37560	65505	32703	32488
0.464	39318	65505	32661	32706
0.488	37531	65502	32703	32690
0.512	35985	48938	32726	32778
0.536	34619	47376	32732	32662
0.568	33130	45344	32666	32724
0.592	32055	42712	32681	32611
0.616	30746	42571	32737	32614
0.648	28665	12738	32740	32909
0.672	29435	3792	32783	32717
0.696	11089	6471	32703	32672
0.72	6971	15810	32741	32632
0.752	17249	19323	32702	32566
0.776	14829	15227	32728	32470
0.808	12373	16615	32691	32436
0.84	13751	15128	32743	32665
0.864	16237	17421	32694	32538
0.896	18429	19772	32716	32700
0.92	19081	22339	32700	32482
0.952	25080	27120	32715	32760
0.984	29882	29786	32673	32756
1.008	33537	32906	32727	32705
1.04	35599	33162	32774	32670
1.072	38014	34743	32717	32698
1.096	39067	35945	32774	32749
1.128	39637	36868	32699	32634
1.152	42586	38868	32648	32745
1.184	42118	40768	32731	32629
1.216	42196	40737	32730	32672
1.248	41317	37554	32773	32715
1.288	40400	37092	32713	32750
1.32	38487	36188	32643	32665
1.344	38126	36660	32739	32485
1.368	39004	36849	32708	32551
1.4	37397	36886	32760	32795
1.432	37205	34926	32759	32507
1.464	36417	33885	32743	32661
1.496	34942	32057	32733	32635
1.528	33747	32546	32768	32957
1.56	32736	31449	32711	32785
1.592	32506	31486	32689	32566
1.632	31877	29757	32740	32500
1.672	31700	28782	32741	32450
1.696	30801	30028	32742	32769
1.728	31091	30854	32723	32679
1.752	31381	31668	32726	32797
1.784	32009	31920	32725	32812
1.816	32062	31886	32737	32780
1.848	34197	34259	32725	32933
1.896	33203	31593	32731	32768
1.928	30863	30485	32724	32614
1.96	30846	30843	32748	32590
1.992	30864	32494	32768	32616
2.024	32240	33243	32658	32596
2.064	32437	33178	32724	32540
2.096	32268	33327	32702	32804
2.128	32207	32930	32685	32524
2.16	32144	34005	32768	32582
2.192	33349	35622	32687	32623
2.224	32323	34322	32733	32605
2.256	33762	34014	32679	32704
2.296	32593	30827	32687	32648
2.328	32339	30023	32653	32615
2.36	35139	25075	32696	32715
2.392	38241	29450	32705	32512
2.424	32910	34749	32718	32672
2.456	28023	36384	32752	32685
2.496	29788	40440	32742	32780
2.528	31599	39406	32727	32723
2.56	32338	40384	32763	32794
2.6	31636	35448	32736	32709
2.64	31602	32999	32754	32752
2.672	31022	30977	32712	32688
2.712	31013	28820	32749	32792
2.752	32487	30568	32722	32592
2.792	31146	29317	32711	32737
2.832	31382	29592	32768	32786
2.872	32405	28432	32717	32660
2.912	32215	28586	32747	32597
2.952	33075	30568	32736	32572
2.992	33170	32718	32757	32686
3.032	34581	34828	32706	32713
3.072	33295	32137	32659	32639
3.112	34011	31307	32714	32715
3.144	32631	33262	32743	32562
3.184	32897	31019	32703	32677
3.232	32844	32550	32755	32682
3.272	32551	32577	32740	32677
3.312	32740	31994	32771	32632
3.36	32608	33731	32766	32622
3.392	34245	33548	32743	32699
3.432	33976	35407	32674	32616
3.472	32396	31734	32734	32764
3.512	32259	34251	32731	32667
3.544	32060	32071	32720	32544
3.584	32031	33454	32704	32649
3.616	32051	34032	32719	32720
3.656	32309	33565	32669	32636
3.696	33038	32653	32724	32488
3.736	32513	32282	32676	32674
3.768	32306	32584	32698	32705
3.8	32458	32367	32724	32727
3.84	32332	31828	32692	32649
3.88	33579	32765	32732	32695
3.912	32879	32854	32780	32752
3.944	32489	31180	32744	32649
3.984	33016	32440	32738	32678
4.016	32777	33193	32695	32705
4.048	32591	32524	32739	32519
4.08	32922	31182	32789	32699
4.12	32450	30843	32741	32562
4.16	26610	21839	32721	32664
4.192	27288	20467	32716	32786
4.232	27432	22677	32683	32742
4.264	27631	25989	32759	32689
4.304	31850	31564	32690	32594
4.344	35243	39208	32713	32659
4.384	39569	41568	32664	32678
4.432	40968	43597	32730	32628
4.472	40563	43518	32755	32647
4.504	38368	41352	32666	32646
4.544	35873	38879	32733	32540
4.584	34439	36989	32704	32719
4.624	34047	36028	32723	32635
4.664	32738	32228	32718	32657
4.704	31207	31138	32756	32704
4.736	30447	29883	32701	32636
4.776	29642	29086	32734	32806
4.808	30412	29332	32747	32826
4.84	29838	29203	32723	32631
4.872	29898	28844	32682	32683
4.912	30137	29221	32695	32704
4.944	29902	29734	32754	32770
4.976	30266	30678	32730	32697
5.008	30967	31977	32746	32639
5.048	31095	31966	32688	32738
5.08	31263	31081	32703	32540
5.112	30414	30623	32780	32649
5.144	31167	28963	32726	32787
5.176	32093	31507	32685	32684
5.216	33523	33198	32652	32755
5.256	32989	32112	32725	32691
5.288	33627	31537	32734	32818
5.328	32951	31932	32717	32676
5.36	33499	32822	32734	32628
5.4	30468	28823	32728	32646
5.44	32286	31323	32738	32719
5.472	33248	34192	32758	32751
5.512	33392	33104	32679	32697
5.552	32934	33402	32727	32663
5.592	33344	33307	32742	32678
5.632	34227	34148	32754	32671
5.664	32835	34501	32735	32622
5.704	33768	33318	32762	32606
5.736	34281	31958	32738	32730
5.768	33449	33799	32700	32524
5.8	33491	33438	32778	32646
5.832	30544	32938	32719	32669
5.864	32135	33803	32676	32609
5.896	33244	33287	32726	32705
5.936	33186	33468	32728	32602
5.968	32090	31366	32746	32652
6.008	32703	32992	32729	32828
6.048	32827	32446	32717	32669
6.088	33192	32747	32740	32723
6.128	33313	32747	32777	32580
6.16	32203	33112	32733	32594
6.192	32310	32541	32732	32634
6.224	31234	32247	32707	32724
6.256	32782	32306	32726	32633
6.288	33124	33483	32729	32564
6.328	33303	32160	32718	32716
6.36	33291	32437	32688	32629
6.4	31809	32257	32770	32667
6.432	32580	33703	32731	32662
6.472	31863	31080	32646	32710
6.504	32320	32413	32688	32684
6.544	33681	32910	32701	32792
6.576	31962	31889	32735	32570
6.608	32348	33098	32708	32767
6.648	30974	34055	32735	32622
6.68	32481	33030	32747	32630
6.72	31817	33002	32722	32660
6.752	33571	34351	32715	32711
6.784	32634	32239	32698	32655
6.824	32503	32084	32735	32630
6.856	32525	31612	32715	32749
6.896	32995	31688	32748	32714
6.928	33392	31750	32717	32591
6.968	32800	32157	32720	32580
7	33027	32936	32736	32554
7.04	32973	32472	32776	32615
7.08	32429	32021	32733	32748
7.12	32426	31974	32724	32503
7.16	33250	32284	32689	32557
7.208	33594	33145	32733	32663
7.256	33098	33258	32777	32785
7.296	33796	31296	32714	32692
7.336	32680	32208	32696	32698
7.376	31587	31472	32784	32729
7.416	32541	32218	32692	32681
7.456	31938	31136	32712	32648
7.504	34011	33409	32708	32749
7.544	33228	34772	32733	32698
7.584	32557	32746	32687	32664
7.624	30282	30577	32721	32735
7.664	28931	30272	32754	32763
7.704	31536	33586	32746	32641
7.736	33069	34058	32713	32643
7.784	34910	35212	32711	32583
7.832	35589	35517	32698	32695
7.864	35735	35977	32756	32634
7.904	35390	34691	32752	32603
7.944	35854	34783	32720	32752
7.984	35991	35885	32696	32687
8.024	34280	35112	32739	32540
8.064	34250	33705	32722	32700
8.096	33017	33425	32716	32529
8.128	31972	30815	32740	32727
8.168	31667	29703	32762	32669
8.2	32494	30434	32746	32717
8.24	30759	29705	32749	32706
8.272	29479	27674	32655	32597
8.312	28238	28398	32656	32612
8.344	28660	28051	32712	32574
8.384	29851	30771	32751	32637
8.416	30340	32607	32763	32677
8.456	29701	31706	32728	32703
8.496	30719	31755	32745	32644
8.528	31067	32391	32740	32732
8.568	31628	31652	32664	32566
8.6	31993	31426	32705	32757
8.64	32537	33130	32651	32676
8.672	34244	33719	32762	32742
8.712	34550	34775	32721	32664
8.744	34674	34319	32722	32741
8.784	32486	32685	32744	32681
8.824	32781	32652	32678	32650
8.864	32593	32176	32698	32660
8.904	33953	32588	32739	32523
8.944	32829	32036	32700	32556
8.984	33663	32793	32702	32667
9.024	34911	35075	32662	32611
9.064	34630	36062	32681	32688
9.104	32333	30802	32745	32728
9.144	29489	23983	32691	32722
9.184	27794	21782	32724	32649
9.224	26984	24766	32728	32596
9.264	31554	32151	32758	32793
9.304	35803	39296	32705	32691
9.344	39550	42427	32690	32656
9.376	41328	44127	32725	32745
9.408	38554	42167	32705	32722
9.448	36948	39950	32727	32646
9.48	35088	36869	32763	32512
9.52	33215	33217	32738	32628
9.56	32520	33472	32707	32603
9.592	32216	33014	32739	32686
9.632	31431	32239	32749	32556
9.672	31376	30259	32724	32718
9.712	30203	29932	32694	32739
9.752	31089	31514	32740	32681
9.784	30488	30713	32728	32699
9.824	30488	31357	32729	32629
9.864	31333	32127	32776	32652
9.904	30851	31844	32767	32532
9.944	31110	30362	32715	32565
9.984	30578	29351	32697	32871
10.024	31248	30751	32735	32558
10.064	32011	30862	32704	32649
10.096	32375	30961	32691	32616
10.136	32499	32452	32706	32593
10.176	33349	32922	32687	32610
10.216	32882	32322	32777	32734
10.256	32257	31684	32732	32757
10.296	32720	33533	32733	32688
10.336	33895	33657	32768	32784
10.368	32724	32635	32725	32650
10.416	33645	33267	32755	32752
10.456	32665	33855	32733	32634
10.496	34055	33660	32648	32710
10.536	34024	34437	32757	32615
10.576	31760	31994	32750	32762
10.616	23675	21734	32732	32549
10.656	28829	26280	32744	32847
10.696	37360	37535	32695	32825
10.736	41632	42365	32672	32657
10.776	40428	40832	32733	32620
10.816	37426	36536	32751	32622
10.856	34035	34887	32691	32730
10.896	31720	30154	32760	32551
10.936	32132	31276	32716	32596
10.968	31233	31726	32751	32707
11	29577	30029	32727	32617
11.04	31550	30307	32719	32752
11.072	31845	30614	32709	32719
11.104	29922	29246	32759	32741
11.152	30188	31633	32734	32608
11.184	30831	33313	32679	32657
11.224	29726	31543	32734	32797
11.264	31435	32827	32739	32666
11.304	31729	33592	32752	32597
11.344	31693	32011	32745	32580
11.384	31746	32540	32739	32514
11.432	31780	32273	32702	32610
11.472	31205	31045	32710	32697
11.512	33578	33823	32711	32549
11.552	33483	33730	32718	32509
11.592	33253	32622	32730	32754
11.632	33438	33413	32724	32701
11.672	32088	33250	32713	32743
11.712	33246	32534	32708	32618
11.744	34864	34048	32744	32675
11.776	33464	32147	32748	32600
11.816	34758	33847	32751	32645
11.848	38061	33502	32710	32650
11.88	36072	33006	32761	32652
11.92	32957	31991	32751	32802
11.952	32758	32067	32779	32551
11.992	31295	32834	32776	32628
12.024	30441	32619	32743	32773
12.056	29689	31864	32729	32662
12.096	30576	31317	32714	32717
12.136	32259	31866	32740	32678
12.184	29507	30103	32741	32544
12.224	20422	18886	32720	32555
12.272	28630	31046	32681	32692
12.312	36121	38384	32718	32606
12.352	40868	42615	32667	32648
12.4	40212	39405	32713	32641
12.44	37544	37651	32706	32652
12.48	35169	34068	32713	32642
12.52	32967	31932	32709	32670
12.568	32218	30729	32721	32727
12.608	29797	29130	32744	32634
12.648	29155	28490	32669	32498
12.68	29633	28513	32689	32628
12.72	29764	30701	32702	32567
12.76	30822	31792	32702	32619
12.8	31789	31609	32701	32657
12.84	31402	32038	32739	32596
12.888	31561	31487	32737	32644
12.928	31819	32303	32745	32652
12.968	31374	29156	32768	32561
13	23780	20594	32695	32570
13.048	28921	26237	32700	32692
13.08	35349	37331	32726	32559
13.12	39841	40922	32694	32848
13.16	35706	36142	32762	32492
13.192	30685	28087	32744	32545
13.232	34611	31660	32701	32637
13.264	38205	38692	32752	32744
13.304	40374	43744	32719	32606
13.344	40793	41234	32719	32681
13.376	37813	37851	32691	32694
13.408	35496	36147	32744	32659
13.448	33513	33280	32728	32665
13.48	31121	29574	32708	32671
13.512	30168	29214	32745	32570
13.544	30033	28000	32707	32729
13.576	29089	27820	32772	32679
13.608	24198	24928	32721	32743
13.64	16198	14736	32689	32615
13.68	24845	25983	32742	32609
13.712	30391	32645	32700	32683
13.752	36669	38441	32695	32591
13.792	39504	41277	32721	32662
13.84	38436	38668	32736	32664
13.88	34971	35240	32714	32656
13.92	34380	33253	32736	32685
13.96	32978	32411	32727	32780
14	31965	30327	32741	32661
14.032	31337	31342	32746	32787
14.064	29963	30048	32681	32684
14.104	31182	30509	32730	32652
14.144	31485	30984	32748	32630
14.184	31900	31663	32740	32796
14.216	31554	31125	32750	32726
14.248	32507	33476	32722	32719
14.28	31583	29763	32756	32713
14.312	31891	33874	32765	32562
14.352	32246	32308	32689	32598
14.392	32264	32041	32766	32622
14.432	31954	32355	32724	32635
14.472	32080	32782	32740	32669
14.504	32768	32200	32723	32618
14.536	32858	33237	32736	32629
14.576	33724	32048	32748	32804
14.616	34246	33138	32761	32736
14.656	33365	33074	32703	32592
14.696	33356	33484	32650	32694
14.728	33615	34015	32728	32727
14.76	33303	32242	32707	32773
14.8	33628	33084	32719	32598
14.832	33638	32962	32748	32640
14.864	34075	32341	32728	32606
14.904	31164	31132	32709	32673
14.944	29016	26624	32761	32677
14.984	32932	34075	32664	32773
15.024	34264	36575	32712	32715
15.056	33398	34995	32693	32599
15.088	34147	34682	32656	32728
15.12	35015	36785	32770	32768
15.152	34232	34925	32728	32560
15.184	35000	33541	32742	32736
15.216	33703	33104	32733	32597
15.248	34270	34543	32744	32758
15.288	34146	34908	32696	32731
15.32	31788	32271	32720	32735
15.352	34379	34742	32745	32682
15.384	32059	32002	32687	32711
15.416	32132	31915	32763	32624
15.448	31808	31409	32742	32673
15.48	31337	30642	32759	32581
15.512	32084	30492	32718	32603
15.552	31755	31631	32686	32758
15.584	31240	30482	32688	32671
15.624	31059	31386	32738	32619
15.664	31046	30788	32761	32611
15.704	30154	30123	32695	32585
15.744	31709	31532	32720	32797
15.784	32520	31347	32754	32866
15.824	31851	31017	32774	32618
15.856	32697	33234	32714	32750
15.888	34507	34711	32731	32583
15.92	33645	32931	32714	32554
15.96	33982	32562	32743	32818
15.992	32989	32878	32742	32698
16.032	32139	32877	32735	32670
16.072	33848	34997	32695	32518
16.112	34103	35237	32670	32688
16.152	33234	35500	32667	32605
16.192	32436	33197	32723	32670
16.232	32893	32544	32772	32688
16.264	31655	31858	32693	32701
16.304	31172	30730	32728	32770
16.344	32299	32996	32692	32592
16.384	32208	32165	32748	32704
16.424	33098	32895	32726	32505
16.464	34727	36963	32708	32736
16.504	34095	34565	32699	32612
16.544	33737	34072	32743	32626
16.584	33003	30614	32738	32822
16.616	33232	32226	32727	32745
16.656	31518	30588	32731	32638
16.696	32227	32312	32688	32648
16.736	32574	32256	32720	32611
16.776	32258	31250	32725	32557
16.816	32030	31650	32728	32811
16.872	32829	32585	32754	32633
16.936	32180	31811	32761	32650
16.968	32246	32535	32697	32692
17	32813	33056	32736	32640
17.032	32812	32462	32681	32684
17.072	33163	32711	32686	32495
17.112	33155	34105	32756	32711
17.144	33168	34159	32722	32757
17.176	32798	33705	32738	32731
17.208	32635	33000	32719	32653
17.248	32809	33945	32735	32779
17.28	32746	32414	32717	32637
17.312	32577	32017	32684	32781
17.344	32501	30987	32739	32681
17.376	33842	33570	32752	32701
17.408	32244	31112	32690	32723
17.44	30201	29760	32692	32670
17.472	30435	32503	32712	32624
17.512	32146	32754	32688	32816
17.544	31652	32060	32767	32648
17.584	33071	34142	32755	32632
17.624	33265	34060	32746	32666
17.664	34342	36727	32736	32610
17.704	33668	33866	32699	32587
17.736	33763	32715	32715	32677
17.768	33866	31760	32746	32644
17.824	32771	31816	32743	32666
17.888	32868	32562	32702	32543
17.952	32891	33786	32676	32632
18.016	32287	32732	32734	32643
18.072	31897	31481	32710	32496
18.136	32105	32853	32752	32672
18.176	32961	33110	32728	32571
18.216	32261	33065	32718	32572
