timestamp	ch1	ch2	ch3	ch4
10	33419	43791	32715	32509
24	41370	38749	32716	31483
45	34748	39952	32723	32393
66	37029	50880	32725	33065
87	51361	65501	32719	32264
108	20824	42006	32675	32973
122	48979	41827	32723	32550
143	25300	39584	32702	32608
157	30839	37256	32773	32622
171	22704	36447	32733	32882
185	31135	36350	32725	32558
206	13050	37196	32704	32928
227	46899	38929	32722	32690
241	32692	31073	32725	32817
262	49079	33197	32714	31901
283	27183	28220	32717	32245
311	51858	65506	32714	32415
332	32830	26837	32736	32898
353	46779	24533	32696	32869
374	39748	22725	32728	33010
395	40077	25669	32713	32414
416	51846	33168	32678	32697
437	51852	34608	32690	32597
465	25467	30012	32709	32885
493	22961	39373	32707	32144
514	35024	34487	32732	32158
535	33845	23926	32713	32180
556	22402	34499	32714	32991
577	9327	31765	32725	32783
598	46862	26184	32724	32387
619	18452	27710	32726	32273
640	43393	27669	32703	32347
668	44394	30878	32669	32674
689	18856	28856	32720	33022
710	32760	31968	32719	32600
738	4	33049	32726	33262
759	18419	26432	32709	33016
780	32749	27650	32706	32644
801	24020	21815	32688	32847
822	47178	30364	32696	32491
843	32827	30979	32715	32938
864	46408	39911	32683	32607
899	44922	29674	32679	32557
920	45392	40855	32705	32676
941	20073	35279	32686	32759
969	15935	32257	32700	33015
990	16876	35914	32664	33065
1011	37752	32371	32717	32902
1039	7	38486	32661	33210
1074	30522	32856	32693	32425
1102	17176	35681	32713	32667
1130	33562	38372	32709	32907
1158	25182	35179	32682	32784
1186	26297	35060	32700	32201
1214	44363	37439	32692	32597
1242	35717	37853	32696	32377
1277	35180	31940	32697	32526
1326	36391	28531	32690	32368
1368	44708	33490	32689	32498
1410	32211	30547	32676	32709
1445	30289	26341	32699	32860
1473	27651	30624	32698	32639
1508	34040	30767	32711	32897
1543	30517	42086	32704	32438
1578	35005	23826	32731	32720
1620	37445	37837	32703	32200
1655	20008	29859	32686	32940
1690	12763	35320	32711	32926
1718	40435	35107	32717	32504
1753	39238	34903	32729	32920
1774	45001	65502	32700	32616
1795	38038	65503	32702	32874
1816	41438	28867	32700	32618
1837	51740	26960	32656	32906
1858	36825	17835	32688	33711
1879	39862	21714	32740	32652
1900	34148	26546	32694	32486
1921	28541	35152	32716	31532
1942	12149	33877	32686	33404
1970	40871	36292	32723	32030
1998	31407	28995	32711	32607
2019	25307	32510	32689	32080
2040	51815	49515	32684	31797
2068	38645	31293	32684	31522
2089	32992	27999	32691	32628
2110	29196	34097	32696	32067
2138	19649	30714	32666	32706
2159	20519	32985	32686	32997
2180	29762	35530	32698	32876
2201	36312	33042	32699	33524
2222	48458	33188	32705	33322
2243	47153	35116	32693	32471
2264	41775	37324	32718	32264
2285	38973	34735	32698	32517
2306	31871	30135	32694	32664
2327	30972	35623	32711	33263
2348	31064	34514	32707	32817
2369	29709	22117	32700	32245
2390	30682	42990	32707	32140
2411	34952	23646	32698	32584
2432	29277	28873	32718	33376
2453	31571	28666	32697	32763
2481	42022	28337	32710	32265
2502	35938	34693	32655	31698
2523	2109	33760	32724	32950
2544	51357	24326	32704	31830
2572	32457	34672	32709	32180
2593	30786	28729	32701	32805
2614	25537	29101	32696	33071
2635	30893	30486	32697	33048
2656	28784	29335	32729	32930
2677	23566	27770	32710	32377
2698	29224	29095	32710	33948
2719	34315	26557	32686	33316
2740	39662	32929	32746	33635
2761	37968	33459	32689	32783
2782	38315	35498	32688	32078
2803	38082	34992	32710	32748
2824	38057	32556	32699	32282
2845	39792	31086	32711	32225
2866	34860	32844	32707	32030
2887	31357	28990	32694	32867
2915	33383	33195	32738	32482
2943	43922	35211	32688	32419
2978	13486	31966	32702	33141
3006	35234	22597	32696	32092
3027	22930	27518	32700	32392
3055	30614	27802	32704	33145
3076	30878	30231	32676	32517
3097	32463	31591	32700	32746
3118	33377	33509	32702	32802
3146	27424	31399	32682	32858
3174	43086	36663	32692	32324
3209	39341	31715	32685	33133
3244	33745	30544	32705	33027
3293	33803	33552	32676	33150
3356	29838	33891	32703	32051
3398	28768	34694	32683	32281
3433	33042	38554	32729	32232
3475	51755	65506	32665	31498
3503	33725	31930	32712	31980
3531	25627	29608	32714	32855
3559	26265	31063	32750	33215
3594	28093	30232	32713	32633
3629	29638	29283	32723	32564
3664	40570	30101	32712	32771
3692	40298	29429	32709	33294
3734	40312	27607	32697	32921
3769	29325	30443	32666	33178
3797	36893	34452	32665	32252
