timestamp	ch1	ch2	ch3	ch4
0	22253	45735	32646	32623
0.016	26062	42853	32656	32631
0.056	28615	31485	32759	32624
0.08	41817	28825	32615	32771
0.104	15348	40416	32744	32511
0.128	51071	18334	32759	32768
0.152	13647	44779	32746	32508
0.176	50682	20061	32785	32783
0.2	21487	45742	32708	32511
0.232	28124	41622	32668	32653
0.264	36401	34023	32671	32630
0.288	19655	32822	32781	32701
0.312	46547	22034	32742	32775
0.344	51092	17944	32721	32816
0.376	50900	20126	32742	32823
0.4	21074	65505	32693	32538
0.424	40838	20359	32784	32648
0.456	30734	24167	32664	32596
0.48	39380	43811	32652	32776
0.512	46673	23240	32755	32754
0.544	51115	10245	32760	32789
0.576	51495	12655	32794	32816
0.608	46629	16516	32783	32721
0.632	27599	39445	32661	32425
0.664	35290	33921	32647	32720
0.688	21639	32650	32779	32569
0.712	46941	23666	32712	32795
0.744	50957	19430	32735	32830
0.768	14819	45851	32724	32555
0.8	19730	47178	32697	32484
0.832	26308	44473	32658	32700
0.864	34064	39003	32628	32738
0.912	45032	26787	32722	32755
0.944	50454	21205	32763	32858
0.984	16296	47568	32752	32550
1.032	25043	45279	32648	32608
1.064	32814	38888	32634	32696
1.096	40506	30835	32615	32820
1.136	14117	41286	32718	32533
1.192	50782	20087	32769	32783
1.24	40711	25275	32715	32748
1.28	36378	34801	32630	32675
1.312	43978	26560	32616	32771
1.36	51318	19425	32747	32802
1.4	17924	46047	32658	32603
1.44	41832	24467	32709	32725
1.488	25633	31995	32785	32615
1.544	49221	20890	32730	32838
1.592	51408	19113	32765	32797
1.632	23461	43992	32646	32665
1.68	34820	36195	32605	32626
1.728	45977	24259	32756	32811
1.792	51422	19027	32751	32754
1.848	26419	42931	32651	32612
1.896	38506	33445	32620	32717
1.944	48572	21981	32722	32872
1.992	51151	18925	32778	32803
2.04	43620	23561	32716	32785
2.088	28042	30853	32775	32681
2.136	16038	39444	32760	32551
2.184	13975	45131	32757	32429
2.232	21918	45618	32649	32452
2.28	33058	38642	32632	32604
