timestamp	ch1	ch2	ch3	ch4
0	46278	44627	32609	32625
0.016	43443	46258	32617	32643
0.048	33385	49026	32718	32640
0.08	24740	48439	32709	32631
0.104	51832	28766	32725	32683
0.128	10309	35130	32748	32677
0.16	5125	25804	32685	32711
0.184	50953	41086	32616	32662
0.216	43857	45558	32695	32607
0.24	21042	16205	32757	32759
0.264	22200	46846	32717	32644
0.304	41987	24453	32723	32711
0.344	17249	33336	32746	32704
0.376	18547	24909	32688	32795
0.408	25986	19003	32669	32759
0.432	41775	47217	32720	32571
0.456	32757	18500	32761	32718
0.488	51849	22349	32726	32712
0.52	47100	28255	32716	32683
0.544	17538	34180	32748	32724
0.576	16660	25336	32698	32711
0.6	40479	42587	32607	32600
0.632	37546	46638	32722	32570
0.656	35308	18356	32750	32736
0.688	43682	22096	32726	32736
0.72	43445	27408	32719	32675
0.752	51802	33564	32624	32639
0.784	51801	39303	32614	32593
0.808	21883	19105	32674	32760
0.84	24499	17366	32752	32759
0.896	20008	45224	32720	32572
0.928	10923	38666	32622	32653
0.976	13797	25301	32675	32783
1.048	31844	47678	32713	32490
1.112	11886	42367	32740	32620
1.16	5089	29388	32749	32695
1.208	21511	18721	32654	32753
1.256	39951	17720	32771	32732
1.296	12575	44977	32723	32601
1.336	45986	30015	32685	32617
1.368	51825	36506	32621	32620
1.392	13643	21576	32668	32752
1.432	35606	46012	32730	32524
1.464	23751	47731	32754	32579
1.504	51805	24226	32707	32682
1.536	51816	29798	32686	32656
1.576	7458	25723	32709	32784
1.608	19300	19295	32666	32783
1.64	34862	17138	32751	32729
1.672	46805	19367	32747	32751
1.712	11304	42503	32731	32657
1.752	51830	33237	32629	32632
1.8	46368	42372	32604	32536
1.84	34467	17062	32764	32788
1.88	17754	46908	32725	32529
1.92	46399	26722	32739	32707
1.96	9002	30330	32746	32723
2	49754	41738	32626	32578
2.04	27793	17151	32740	32754
2.08	23766	47212	32714	32540
2.12	51840	26718	32698	32684
2.16	8313	30639	32762	32692
2.2	46280	41945	32710	32599
2.248	29402	47660	32742	32627
2.296	16926	45737	32750	32610
2.344	6972	35383	32747	32674
2.392	14880	22598	32682	32740
2.44	32415	17012	32710	32772
2.488	51826	21264	32759	32767
2.536	43630	28842	32699	32657
2.584	51322	38591	32611	32622
2.656	39868	17396	32720	32774
2.704	51826	23325	32721	32753
2.752	51834	31923	32602	32687
2.8	46544	41027	32611	32644
2.848	34812	47838	32758	32624
2.896	21931	45869	32758	32578
2.944	13700	36434	32728	32697
2.992	12224	23258	32677	32748
3.04	32455	17074	32720	32762
3.096	18026	46244	32762	32629
3.144	10047	36186	32736	32634
3.2	47040	41383	32618	32595
3.256	35366	17387	32779	32781
3.312	12929	43995	32750	32654
3.368	51825	34146	32652	32617
3.424	22119	18208	32684	32707
3.48	21689	47773	32719	32628
3.536	50024	28191	32698	32714
3.592	13309	23781	32674	32727
3.648	30437	46897	32719	32602
3.704	51832	22763	32729	32749
3.76	7522	32745	32760	32696
3.824	22839	18297	32672	32782
3.888	51800	20155	32719	32752
3.952	51841	31395	32673	32650
4.016	44678	42829	32699	32530
4.088	51812	20003	32712	32747
4.152	51841	30751	32668	32653
4.216	47226	43145	32720	32615
4.28	23445	47482	32704	32585
4.352	41113	30278	32677	32659
4.416	40626	42665	32632	32609
4.48	31973	47473	32746	32540
4.544	10576	38541	32724	32662
4.608	15444	21449	32671	32742
4.672	44850	18042	32774	32727
4.736	51813	26919	32718	32715
4.8	49571	39964	32622	32593
4.864	32200	47643	32739	32586
4.928	19560	42433	32735	32627
4.992	13579	25742	32680	32736
5.056	32141	17053	32790	32761
5.12	42568	24081	32713	32747
5.184	50180	35900	32610	32592
5.256	27500	17271	32742	32783
5.32	51844	24101	32729	32756
5.384	47828	35562	32619	32663
5.448	44026	46084	32731	32555
5.512	26172	45883	32731	32535
5.576	8904	31031	32737	32689
5.64	22116	18038	32771	32763
5.704	51729	20922	32728	32722
5.768	43406	31787	32650	32694
5.84	19427	18061	32658	32720
5.92	42009	23366	32741	32787
6	40179	37961	32615	32581
6.072	40402	17529	32784	32793
6.136	48701	25568	32698	32712
6.2	51770	37845	32625	32628
6.264	33848	47099	32724	32573
6.336	51791	25511	32722	32717
6.408	12814	24132	32675	32705
6.472	39179	17435	32741	32748
6.544	12328	41346	32740	32561
6.64	19033	18715	32671	32761
6.728	18569	44520	32714	32624
6.816	38107	39621	32614	32552
6.904	51427	20002	32761	32730
6.976	7785	33680	32786	32756
7.048	47841	45063	32724	32532
7.112	27438	47058	32745	32567
7.176	7739	34189	32722	32679
7.24	18721	19104	32671	32774
7.304	30296	19625	32733	32752
7.368	51848	30441	32688	32622
7.432	51651	42107	32606	32567
7.496	33525	48104	32738	32630
7.56	16101	39247	32711	32676
7.624	15800	22315	32644	32747
7.696	37237	47534	32725	32571
7.76	10295	39649	32725	32651
7.824	14385	22758	32685	32771
7.896	26861	47784	32695	32591
7.968	39912	29130	32714	32677
8.04	15383	19933	32672	32749
8.128	26540	45419	32647	32610
8.2	51785	35155	32613	32647
8.272	32481	17295	32654	32764
8.344	13651	43845	32649	32523
8.416	51441	37984	32623	32556
8.488	30696	17448	32732	32748
8.56	18097	40775	32718	32630
8.648	40813	43142	32608	32528
8.752	47614	25140	32755	32694
8.856	25517	18441	32655	32789
8.944	18248	44509	32628	32582
9.016	51668	36831	32621	32661
9.088	38343	17245	32752	32814
9.16	20751	41574	32616	32640
9.232	51067	39747	32612	32601
9.304	27253	18121	32731	32724
9.376	17750	38173	32636	32655
9.464	32755	44569	32755	32562
9.544	21771	44896	32602	32577
9.624	10927	25505	32697	32724
9.712	33761	47444	32740	32517
9.792	14576	34825	32737	32696
9.872	23739	17624	32755	32781
9.952	44899	23940	32715	32686
10.048	46881	41908	32605	32557
10.136	51724	21268	32739	32742
10.208	10822	30889	32743	32712
10.288	25037	17337	32646	32775
10.368	51791	26518	32732	32714
10.448	51741	41455	32620	32561
10.528	21974	47198	32701	32585
10.608	14828	31341	32751	32721
10.688	31455	17245	32719	32757
10.768	46381	25902	32713	32734
10.856	14673	20213	32671	32743
10.936	51751	20737	32785	32735
11.016	51056	34462	32619	32603
11.096	35314	46674	32738	32595
11.176	18452	40871	32711	32642
11.272	24957	18259	32658	32740
11.352	45684	22762	32704	32719
11.432	51758	37158	32604	32591
11.512	29102	47811	32721	32576
