timestamp	ch1	ch2	ch3	ch4
10	28807	33488	32691	32634
24	30975	34214	32637	32928
38	48036	31717	32742	32858
52	51622	32622	32733	29041
66	51630	28447	32661	21400
87	50533	29727	32694	36162
101	47591	32306	32705	16752
115	44961	37209	32683	35941
129	42694	33192	32678	65501
143	40709	35885	32647	34735
157	38954	35335	32669	29822
171	37411	31579	32721	51590
185	36057	40924	32617	49952
199	17974	35242	32724	42610
213	34691	34925	32677	42088
227	34808	31453	32693	38800
241	34746	41760	32650	34723
255	21075	39160	32716	32187
269	21278	39163	32651	30380
283	1931	41377	32643	28600
297	1462	33064	32730	27018
311	24407	39737	32751	26529
325	30467	31142	32699	26397
339	15847	32765	32724	26314
353	17691	32101	32694	25826
367	47396	35773	32674	26228
381	40283	25358	32666	27195
395	22344	26618	32680	27477
409	20232	23555	32723	28064
423	51623	22597	32737	28410
437	42330	21452	32784	28902
451	24781	25927	32726	30007
465	51623	36065	32650	29313
486	48464	34030	32655	30343
500	37770	27415	32654	31373
514	42082	33285	32582	31761
528	23075	31058	32702	32501
549	31890	31617	32646	33229
563	51627	31140	32784	32638
577	51626	29758	32718	33368
591	30832	31115	32734	33553
612	51060	30257	32698	34053
626	12085	34688	32690	34669
647	24959	31159	32674	34240
661	5520	35553	32699	34142
675	51548	35160	32708	33847
689	26534	35640	32725	34236
710	38456	29839	32747	34076
724	19284	32955	32700	34418
745	22850	32527	32704	34211
766	30021	31413	32628	33668
780	21593	34831	32741	33573
794	14732	35524	32752	33646
815	51446	27464	32707	33574
836	35169	29592	32702	33362
850	50642	34052	32649	33015
871	49902	27067	32717	32935
892	24769	26605	32693	33439
906	49724	26579	32659	33530
927	49672	26469	32746	32803
948	49244	30287	32636	32710
962	43582	32410	32667	32484
983	49479	35827	32627	32231
997	12105	36892	32658	32430
1018	22532	35348	32688	32751
1032	10872	40869	32672	32167
1053	6864	36826	32709	32422
1067	39162	32276	32721	32954
1088	33175	35417	32725	32554
1109	14367	39223	32683	32306
1130	5581	37157	32744	32548
1151	7318	33447	32720	32609
1172	18391	33243	32661	32890
1193	31015	24980	32693	32077
1214	51144	27823	32718	33081
1235	51489	30249	32719	32429
1256	51485	33302	32719	32271
1277	51314	34958	32707	32290
1305	3068	37807	32754	32864
1326	50995	31984	32641	32563
1347	20766	41024	32679	32707
1368	11278	33127	32669	32714
1396	35721	35095	32746	32598
1417	26717	35106	32712	32461
1438	11859	32119	32702	32698
1459	5208	34480	32701	32844
1480	4408	34120	32714	32953
1501	15464	34810	32759	32749
1522	32913	34076	32702	32564
1543	47652	30786	32687	32891
1571	33071	29918	32725	32944
1599	31245	30934	32719	32972
1627	42586	34471	32729	32892
1648	32840	34655	32648	32615
1669	36263	26559	32714	32997
1690	9191	34367	32675	32748
1711	3156	34400	32729	32440
1732	9901	33084	32676	32761
1753	17554	35178	32711	32823
1781	46624	33395	32721	32499
1802	38216	37824	32755	32980
1823	37285	37110	32733	32372
1851	34356	34207	32677	32279
1872	51615	25421	32705	32826
1893	51619	33998	32692	32497
1921	21542	37628	32717	33024
1949	41338	37072	32701	32621
1970	51607	35611	32657	32296
1998	26643	35176	32739	32991
2026	40659	31060	32755	32877
2054	39016	33088	32724	32590
2082	15195	34419	32706	32711
2117	7316	36265	32825	32843
2145	51564	29798	32747	32331
2180	33061	32150	32718	32489
2208	40129	34339	32725	32603
2243	51528	65504	32666	32353
2264	47020	43225	32637	32778
2285	43646	15530	32694	32526
2313	9577	25778	32684	33028
2334	19692	26751	32709	32398
2355	51500	42140	32740	32759
2383	34289	28064	32711	32944
2411	15628	27316	32619	33031
2439	43188	33996	32663	32625
2467	7911	34352	32658	32824
2488	13632	33818	32727	32639
2523	7957	34720	32716	32676
2551	51621	32334	32736	32987
2572	51619	32072	32673	32265
2600	9029	32780	32737	33102
2628	51549	30355	32740	32592
2649	51594	33293	32730	32412
2677	5968	38740	32676	32358
2705	51552	28288	32722	32489
2733	26936	33788	32698	32934
2761	18583	36079	32566	32598
2782	51619	35177	32711	32572
2803	51617	32638	32689	32289
2831	17079	33845	32659	32828
2859	42096	26860	32668	32805
2887	29262	32818	32720	32443
2922	51622	32856	32701	32600
2950	9494	37451	32593	32987
2985	30003	36085	32715	32737
3006	13674	32023	32741	32306
3027	5377	32540	32656	32708
3048	12643	31544	32686	33048
