timestamp	ch1	ch2	ch3	ch4
0	35797	30974	32723	32643
0.016	39359	29565	32734	32441
0.048	39170	30868	32709	32548
0.08	34928	32775	32749	32591
0.096	37170	29886	32664	32340
0.12	34337	31029	32739	32958
0.152	35122	33848	32620	32602
0.176	35816	34414	32739	32603
0.2	35242	30857	32741	32597
0.24	31701	34943	32704	32812
0.272	30075	32619	32717	32681
0.296	29725	34592	32747	32678
0.32	31730	30999	32760	32816
0.352	34549	32785	32673	32569
0.376	31758	34603	32685	32656
0.4	32797	34470	32659	32747
0.424	31573	31979	32734	32592
0.448	31467	35587	32738	32645
0.472	35087	34123	32727	32510
0.504	35502	30971	32648	32698
0.536	33301	28389	32737	32673
0.568	32590	26863	32707	32858
0.592	35214	33403	32710	32466
0.624	42172	65506	32718	32340
0.656	51805	33698	32730	32648
0.688	48360	27573	32732	32466
0.736	43078	17919	32705	32872
0.776	23704	13284	32706	32834
0.824	21900	19583	32691	33033
0.872	24632	18908	32680	32709
0.904	24199	20067	32684	33201
0.944	26914	23410	32738	32793
0.976	27852	28305	32707	32390
1.008	30006	31453	32719	32373
1.048	30688	35544	32702	32850
1.08	31757	32701	32738	32516
1.112	33234	32187	32745	32421
1.136	34627	33511	32711	32774
1.168	33760	37339	32708	32748
1.192	35258	34721	32686	32577
1.224	35150	37901	32720	32465
1.264	34412	38653	32693	32675
1.296	35355	36192	32741	32791
1.336	35117	34788	32737	32451
1.368	36157	35255	32733	33081
1.408	38306	34516	32698	32274
1.44	34431	33976	32684	32836
1.488	29808	26971	32697	32571
1.528	33696	34193	32700	32442
1.568	30042	27263	32717	32741
1.616	34531	40929	32779	32512
1.648	38864	46558	32728	32864
1.68	33605	39898	32676	32531
1.712	37086	38489	32745	32877
1.752	33777	35929	32695	32775
1.784	34113	34682	32706	32537
1.824	33810	32280	32761	32309
1.856	31867	30906	32707	32667
1.896	32778	30916	32725	32639
1.936	29142	31737	32717	32609
2	30490	32162	32678	32842
2.048	31873	30546	32727	32517
2.088	32969	30454	32732	32687
2.128	32801	29106	32728	32280
2.168	32339	29437	32705	32639
2.2	31579	30849	32702	32959
2.232	32930	30660	32706	32698
